Review Title,Review Text,wordcount,titleSentiment,textSentiment,Star Rating,sentimentValue
Ojo!,"Lo tengo desde hace meses, pero en la actualización de hoy 1 de mayo de 2015 mi antiviruslo ha detectado como aplicación potencialmente peligrosa y lo he desinstalado.",33,0,1,2,-0.130138468643746
Bastante útil y fácil de utilizar,"Me ayuda bastante y la gente, a …",34,1,1,2,-0.2017099026902854
Separar las islas!!!,Porfa separen …,34,0,0,2,-0.5529856995159401
vuelve a funcionar,Vuelve a funcionar como debe de ser. La tenemos que cuidar y actualizar todos. …,36,0,0,2,-0.6150217745307491
Demasiados feaute,A ver......tiene muchísimos ….no mola nada,63,0,0,2,-0.6422284312075216
Bien,"Se podría mejorar haciendo uso del ,,,",45,1,0,2,-0.7478047635470271
Mucho que mejorar,"La interfaz de usuario es pésima, no hay por donde cogerla. Lo ideal sería seguir Material Design de Google y no perder el tiempo con interfaces feas.",27,1,0,2,-0.769308686900702
No pude FINALIZAR!!!!,La APP no se cierra nunca. … Tengo que desinstalarla y reinstalarla cada vez que quiera usarla,32,0,0,2,-0.950120971741788
No te hacen caso,No veo lógico ni competitivo ni de calidad…,103,0,0,2,-1.7072675742817744
Avitar,…,22,0,1,2,0.0528405983105105
Donde esta el Catalán,Con eso esta dicho todo. Y quede claro que no tengo nada contra el idioma de Cervantes (no como otros).,20,1,1,2,0.0579279092395829
Imprescindible,Desde que la tengo hace meses que no…,27,1,1,2,0.0737785545211743
vale la pena,A mi me … la encuentro genial.,13,1,1,3,-0.0150187707033051
Genial,Por lo menos …,15,1,1,3,-0.0220345678276106
Excelente,Te …mucho,3,1,1,3,-0.0361552697312459
Por fin algo bueno,Esto es lo que hacía falta,6,1,1,3,-0.0484385138839592
Fiable,Es fiable la aplicación ya lo e comprobado y la recomiendo solo q tarda…,20,1,1,3,-0.0617548345575044
Muy práctica,Interesante y funcional,3,1,1,3,-0.0654832603634284
Ahora ya funciona,Ahora ya funciona mejor pero la…,13,1,1,3,-0.0704406232354751
Muy Útil,Me ….,9,1,1,3,-0.0744834280040398
Oki,Mola,1,1,1,3,-0.0834670490465358
Mola,Mola,1,1,1,3,-0.0834670490465358
A por ellos,Hay que…,5,1,1,3,-0.0888244859913255
Muy buena,Mola mucho,2,1,1,3,-0.0896388323268041
Buena aplicacion,Buena ayuda para u,7,1,1,3,-0.0924011512851838
Fiable,Las notificaciones….,15,1,1,3,-0.0963865490408485
Su fin lo cumple,"La aplicación es bastante buena para lo que es,",23,1,1,3,-0.1004218235419089
Muy buena,Ayuda mucho …,4,1,1,3,-0.1064984374578311
por la red,Hay veces que bien otras que t,9,1,1,3,-0.1074556652070253
Muy buena,Avisa de todo,3,1,1,3,-0.1077552399951672
Muy útil,Muy útil. Si vais a,8,1,1,3,-0.1081437146149816
relajada,Da gusto estar …,6,1,1,3,-0.1143172034748205
Muy util,…,3,1,1,3,-0.1161317392605557
La idea esta bien,Hecho en falta un interface,19,0,1,3,-0.1379434504607433
bien,B,1,1,1,3,-0.139860755685693
Esta muy bien.,.,1,1,1,3,-0.139860755685693
Y,Ole,1,1,1,3,-0.1717007293626715
ES MUY BUENA,A…,1,1,1,3,-0.2130919859236215
Ahora va genial,Se han solucionado los problemas todo bien,7,1,1,3,-0.2274631454462939
Muy buena,Esta chevere,2,1,1,3,-0.2362954204475648
Es activa,Es activo e…,5,1,1,3,-0.2467298095503881
Me gusta,Vai moi ben.vestrelas,4,1,1,1,-0.2560262204901055
Parece que mejoró.,Ya parece que conecta.,4,0,1,3,-0.2561116075439786
Buena,Interfaz horrible pero con buenas aportaciones. Deberian incluir que,17,1,1,3,-0.2576389991643603
Si pero con mejoras,…,23,0,0,3,-0.3004906199866349
muy bueno,Cuabta más mejor,4,1,0,1,-0.3118198896902961
Muy bueno,…,13,1,0,1,-0.348732833470111
Le doy por ahora,"Es buena app y muy aconsejable, pero mejorable no funciona la",12,0,0,1,-0.3557903626929362
Maravilloso,Para q no,6,1,0,1,-0.3653365872548321
Funcionaba pero,La año funcionaba perfectamente tras la tercera actualización no funciona en mi wiko rainbow,14,0,0,1,-0.3761207999456423
Problema,"Me funcionaba perfectamente, y era super util, ahora derrepente no funciona, me dice que hay un error. Probe a desinstalarlo e instalarlo de nuevo y nada.Es una pena",28,1,0,3,-0.4066233781151815
No functiona,Tenéis que ponerlo a punto,5,0,0,1,-0.4396393261847104
Muy practico,"esta muy bien, si de…",23,1,0,3,-0.4467301899351924
Bien,Se actualiza la,7,1,0,1,-0.4656456056672159
Aplicación aceptable,Buena pero muy mejorable,4,0,0,1,-0.4661015340821958
No funciona bien y va muy lento,Fuera de mi casa sin wifi funciona fatal por eso estrellas y haber si arreglais las interferencias,18,0,0,1,-0.4937843434171307
diversos.,"La nueva actualización, trae ",5,1,1,3,0.0048198177140898
buena arma,Muyyyyy util y beneficiosa,4,1,1,3,0.0203396951615043
Impresionante.,"Han corregido errores y han conseguido una aplicación muy muy buena. Buen trabajo chavales, gracias y a seguir mejorando.",19,1,1,3,0.0343942970573583
Practica,"Resulta practica y util, sobre todo en",17,1,1,3,0.0351123421389235
MUY BUENO!!!!,Facil para,12,1,1,3,0.0398963636518567
Siempre,Siempre es mejorable,3,1,1,3,0.0423685935461822
Perfecto,Ole las buenas aplicaciones para ,9,1,1,3,0.0484753232706426
Actualización arreglada,Ya funciona correctamente de nuevo,5,1,1,3,0.0666935479508558
Buena,La han reparado y funciona bien,6,1,1,3,0.0781566212010698
Excelente y muy buena,Sigan así,2,1,1,3,0.0812644111589968
Buena App,Muy util para,18,1,1,3,0.1046741622801308
Hay que hacerla sencillas de usar,Falta desarrollo pero es buena sin duda. Si funcionara con el de,15,1,1,3,0.1320870947250792
Va muy bien,Fenomenal para,5,1,1,3,0.1362066817120937
Bien,Bien,1,1,1,3,0.1519003517995383
Buena,…,1,1,1,3,0.1531406057644038
Gran aplicación,Te tiene al,6,1,1,3,0.1574359069521029
Perfecto,"Hace lo que dice, va bien",6,1,1,3,0.1606161692201734
Muy precisa,Correcta en sus puntos,4,1,1,3,0.1706505906549261
Ayuda,Falta precisar,16,1,1,3,0.1900148953787533
es maravillosa,si todo el,12,1,1,3,0.2011986110495447
Esta muy bien,Sobre todo para los que,9,1,1,3,0.2126737335873196
Muy practico,Mientras nos tomemos,11,1,1,3,0.2182298800874059
Interesante y eficaz,Vale la pena descargarla,4,1,1,3,0.2377168624304035
Increíble,…,8,1,1,3,0.238395932002064
Espero que,Espero que con esta nueva actualización vuelva a sus origenes. Recomendable,11,1,1,3,0.2447126508284458
estupendo ya corregido,mejor que las que e privado,6,1,1,3,0.2468685639154956
¡Práctico!,Dependes de la,11,1,1,3,0.2816241759329342
"Es buena,a mejorar!!!",Si avisara por,8,1,1,3,0.2836733315399299
Muy buena apk.,Perffectoo....,1,1,1,3,0.2882236092979837
Ahora si,Por fin an puesto por,10,1,1,3,0.2972720086344186
Jose,Es verdad lo que cuenta...,5,0,1,3,0.3015209006692449
eficaz,A mi me gusta.si,22,1,1,3,0.3084238713856796
Buenisima!,Muy precisa,2,1,1,3,0.3104676549447563
Buena,Muy bueno,2,1,1,3,2.066293714165454
Recomendable,Recomendable,1,1,1,3,2.4949019031120727
Ahora si va mucho mejor,La nueva actualización funciona bien. Ahora sí,7,1,1,4,0.1071107556215876
Ahora si. Todo perfecto,Es muy útil y funciona muy bien. El único problema que tenia es que no me funcionaba…,38,1,1,2,0.1367655004093506
Muy util,Pero lo ideal solo seria…,49,1,1,2,0.1456020575719366
Ahora va muy bien.,"Hace tiempo se hizo una actualización con la cual dejaba de funcionar, ahora han vuelto a actualizarlo y vuelve a funcionar como antes, perfectamente, muchas gracias.",28,1,1,2,0.157160061233533
No esta nada mal,Soy de y tiene bastantes…,52,0,1,2,0.1932908045956224
Es una gran aplicacion!,Es muy practica para aquellos que,34,1,1,2,0.2145432505538597
Mucho mejor,"Seguid así, la aplicacion ha mejorado mucho desd aquella actualizacion q casi se la carga. Ahora es todo configurable, ademas de ser mas rapido el funcionamiento.",49,1,1,2,0.2268193466887973
Me gusta pero........,"le dare las 5 estrellas, cuando consiga…",16,0,1,4,0.23671299974719
Ahora si,Haber kon anterioridad le di 1 * xke su version no me gustaba la veia un poko…,42,1,1,2,0.2640909909931956
FUNCIONA,Me funciona bastante bien,4,1,1,4,0.3159142897489563
Mal usada,La aplicacion es perfecta. Lo ke veo incorrecto es,42,0,1,2,0.3195760966430152
jorge,Gracias a los creadores de la app y a las personas que,27,1,1,2,0.3580949038850742
Luis Miguel,"Sinceramente es una App,muy buena,la verdad…",35,1,1,4,0.3972941362709064
Me meti y me,buena aplicacion espero que no cambie,17,1,1,4,0.4009862986582935
Pep Vich,Muy util para la gente q,16,1,1,4,0.4723618536219514
Muy útil,Cuando estás tanto tiempo … esta aplicación lo hace. Felicidades.,21,1,1,4,0.5114589565782479
Hay que darle,Es muy útil,16,1,1,4,0.5130354559770571
Creó que es muy interesante,… lo mínimo es agradecérselo,21,1,1,4,0.5288740718201562
Estupendo,"Va de lujo, para tener",21,1,1,4,0.5819337314075256
Está bien,"Buena app, habría q depurarla un poco pero van en buen camino.",12,0,1,4,0.7433646662511416
Genial,Me parece fantástica me esta siendo súper útil por diversos motivos e intento,25,1,1,4,0.8083844566577392
Genial esta versión,Cumple las expectativas y en,25,1,1,4,0.8135213140892275
Me encanta!,"Buenisima aplicación, la deberían de tener … Muy recomendable.",30,1,1,4,0.8709106029180158
Genial!,"Una aplicación muy buena, lo único que cambiaría sería … Por lo demás perfecta",19,1,1,4,0.9115975679701868
Buena aplica,Aplicacion muy buena y la mejora a sido muy buena!,10,1,1,4,2.0785325950993263
Muy buena,Siempre viene bien....,4,1,1,5,0.3194115559456496
aora si,Gracias,3,1,1,5,0.3355475290582509
Genial,Hasta la fecha … La recomiendo,9,1,1,5,0.340635632699804
Ya funciona,…,1,1,1,5,0.340837500179434
Hoy por hoy la mejor,La mejor app de … de todas,9,1,1,5,0.3449286771629061
Nada mal...muy buena...,…,2,1,1,5,0.3730127762637939
Funciona muy bien,"Es perfecta,al menos en.",5,1,1,5,0.3772858629714271
Ok,Ok,1,1,1,5,0.4105840889977529
Muy buena,A ver si así nos podemos l,12,1,1,4,0.4169960651198418
Jose,"Tendria q funcionar tambien sin sonido,solo con vibracion",8,1,1,5,0.4360123288902547
buenisima,funciona como un tiro indispensable para,13,1,1,4,0.458069977730335
Genial,Va de lujo con la actualzacion,6,1,1,5,0.4625917193798818
Pésima actualización,"Antes iba de lujo, ahora falla siempre",7,0,1,5,0.4753776139808153
Muy buena,"Después de los últimos arreglos va muy buen, espero que no tropiecen.",12,1,1,4,0.5020110593028815
Excelente.!,Realmente útil.!,2,1,1,5,0.5313428364649476
Magnifica,Lo mejor,2,1,1,5,0.5565330772558457
Excelente,Para saber,11,1,1,4,0.5907584355916051
Desde que an Actualizado,Esta muy bien la aplicacion,5,1,1,5,0.5983660634855417
Guena,Esta muy bien a ver si es verdad os doy 5 estrellas,12,1,1,4,0.6265411347953563
Mejorado,Va mejorando su funcionamiento. Buen trabajo,6,1,1,5,0.644796831841997
Muy buena,Bastante útil para,8,1,1,5,0.6474717935270584
Muy util,Me gusta,2,1,1,5,0.6507921259936814
Muy buena,La aplicación funciona de maravilla,7,1,1,5,0.6516914337116528
Buena aplicacion,"Está bien, aun puede mejorar. Gracias un gran trabajo",9,1,1,5,0.660120247655165
muy util,perfecta para…,12,1,1,4,0.6642221183609911
Me parece una gran aplicación,Es muy útil para las,11,1,1,5,0.6665217815523699
Me a gustado,Buena app para,5,1,1,5,0.670468060537199
Buena,Pues eso....muy buena......,3,1,1,5,0.6801670421347353
Muy buena,Aunque orientativa...... Y de buena ayuda,6,1,1,5,0.6818796304787703
george,Por ahra util,3,0,1,5,0.6819368123322846
Actualización no funciona,Con la nueva actualización q puedes elegir diseño está perfecta,10,0,1,5,0.6930388877217459
Perfecta,Ahora está muy bien,4,1,1,5,0.6946132881913312
Fantástico,Una estupenda aplicación,3,1,1,5,0.7036848999693831
Grande!!,"Gran aplicación,",2,1,1,5,0.7290006586523401
Muy buena,Especially buenisima,2,1,1,5,0.7364849716820878
arreglado,el nuevo update va muy bien.,6,1,1,5,0.7775944112834658
Muy buena,Buena aplicación,2,1,1,5,0.7892840992683733
Buena.,Buena aplicación.,2,1,1,5,0.7892840992683733
Muy buena,Aun la estoy probando pero de momento me gusta,9,1,1,5,0.794210584136167
Perfecta,Por fin. 5 estrellas y cien por cien recomendable,9,1,1,5,0.7964592393297233
Muy util,Es muy buena y de utilidad,6,1,1,5,0.8250062267641357
Buena,esta muy bien así nos,10,1,1,5,0.8486203812383325
Buena,Esta muy bien..,3,1,1,5,0.9502445375291844
Ahora va bien,Cambios para mejor solucionados muchos problemas .va muy bien la aplicación.gracias,11,1,1,4,0.970349548727348
Magnifica,Es de las mejores app que e probado y es,15,1,1,4,0.9875334198695158
Buena,Muy buena app para,7,1,1,5,1.0158067027225908
app muy buena,Me parece muy buena y de gran ayuda,8,1,1,5,1.0349163821288017
Gran aplicacion,"Sencilla de usar y muy util,",7,1,1,5,1.0805100826193086
Buena,Es muy buena y muy,6,1,1,5,1.1124764077101597
Ya funciona,"Ya va como empezó, sin problemas, muy útil para los que",18,1,1,4,1.1176293984723555
Buena,MUY UTIL. FACIIL MANEJO,4,1,1,5,1.1324859398915716
Perfecta,Fenomenal!,1,1,1,5,1.165488007226509
Me gusta,Fenomenal....,1,1,1,5,1.165488007226509
Buena,Muy buena están haciendo un buen trabajo,7,1,1,5,1.1738691703782254
Va genial,Lo recomiendo :-),3,1,1,5,1.1755643481282338
una makina,muy practico,2,1,1,5,1.2045016189965068
Muy util,"Es muy util,y muy buena",5,1,1,5,1.2131584025905635
bueno,Bueno,1,1,1,5,1.2139421714046004
Muy buena,"Con la nueva actualización va de lujo, arreglados todos los fallos, muy buena aplicación",14,1,1,4,1.2520745197362697
Noe,Una maravilla,2,1,1,5,1.2712604743582523
Estupenda!,Una gran ayuda!,3,1,1,5,1.2940112542762372
Muy buena aplicacion,Muy bien pensado!!funkciona a!,6,1,1,5,1.3622623939891931
Simplemente perfecto,Muy útil,2,1,1,5,1.3795299147000697
Recomendada,Muy útil!,2,1,1,5,1.3795299147000697
Me guata bastante.,Funciona muy bien.,3,0,1,5,1.405696999784983
muy buena,m parece una muy buena aplicación facil d interpretar,9,1,1,5,1.4137229404687164
ahora si!!!,"ahora si,perfecto,gracias!!!!",2,1,1,5,1.4227142158206203
Muy buena aplicacion,Funciona muy bien y es muy util,7,1,1,5,1.4250767923350358
Genial,De momento va todo genial,5,1,1,5,1.4969270885723798
Ok,Muy bien,2,1,1,5,1.5933008062007696
Recomendable,Muy buena aplicación.,3,1,1,5,1.6308998956057812
Muy buena,Excelente aplicacion. Muy completa con,15,1,1,4,1.7698177425486767
Genial,Fantástica,1,1,1,5,1.837082362558044
util,Muy buena me gusta mucho,5,1,1,5,1.8818057000064563
Excelente,Muy buena app,3,1,1,5,1.94386241769239
FANTASTICA,Muy buena app,3,1,1,5,1.94386241769239
Necesita mejorar.,Excelente App!,2,1,1,5,2.0529319053816817
Encantada,Muy práctica y fácil de usar. 100%recomendable,7,1,1,5,2.05555639366319
Muy buena,Muy buena,2,1,1,5,2.066293714165454
Muy buena,Muy buena,2,1,1,5,2.066293714165454
Muy buena aplicación,"Funciona genial, muy buena aplicación.",5,1,1,5,2.098546667748921
Buena,Estupenda!!!!!!,1,1,1,5,2.2203869835864225
Muy buena,Funciona perfectamente,2,1,1,5,2.295085568258301
Excelente,Recomendable,1,1,1,5,2.4949019031120727
Muy buena aplicacion,Muy buena genial,3,1,1,5,2.8148181335684743
Buena,Genial,1,1,1,5,2.92439308616636
Wuau,Genial,1,1,1,5,2.92439308616636
Muy buena,Genial,1,1,1,5,2.92439308616636
Sg S5,Excelente y exacta,3,0,1,5,3.2645785544908428
